Date,Open,High,Low,Close,Adj Close,Volume
2017-01-13,73.100388,73.622269,72.820808,73.119026,57.404026,18760867
2017-01-16,73.119026,73.622269,73.119026,73.529076,57.725937,2004853
2017-01-17,73.519753,73.529076,72.718292,72.764893,57.125996,6141875
2017-01-18,73.622269,73.901840,72.690338,73.100388,57.389393,68666551
2017-01-19,73.100388,73.603630,72.895363,73.072426,57.367439,6279733
2017-01-20,73.193581,73.389282,72.298927,72.541229,56.950409,7622251
2017-01-23,72.298927,73.156303,72.298927,73.053787,57.352806,12685662
2017-01-24,73.053787,73.379967,72.485313,73.007195,57.316219,9099098
2017-01-25,73.016510,73.631584,72.960594,73.212219,57.477180,4188889
2017-01-26,74.088226,74.088226,73.230858,73.417244,57.638149,11938684
2017-01-27,73.156303,73.417244,72.914001,73.072426,57.367439,10186119
2017-01-30,73.072426,73.072426,72.270973,72.513275,56.928452,4682330
2017-01-31,72.503952,73.342690,72.047310,72.112541,56.613861,21856188
2017-02-01,73.063110,73.063110,71.665215,72.037987,56.555328,11028608
2017-02-02,71.739769,72.410759,71.385635,71.702492,56.291935,14359122
2017-02-03,72.037987,72.233696,71.665215,72.000710,56.526062,9237652
2017-02-06,71.758408,72.569183,71.413597,72.541229,56.950409,7588766
2017-02-07,72.410759,72.746254,72.252335,72.653061,57.038204,5350289
2017-02-08,72.690338,73.035149,71.758408,72.755569,57.118675,10371696
2017-02-09,72.755569,72.876724,72.075264,72.364166,56.811405,9601054
2017-02-10,72.364166,72.634422,71.786369,71.972755,56.504108,15364906
2017-02-13,71.982071,72.410759,71.758408,71.851601,56.408997,8841558
2017-02-14,71.851601,72.597145,71.478828,71.805008,56.372421,13793286
2017-02-15,72.270973,72.587830,71.814323,72.065948,56.577278,11278984
2017-02-16,71.767731,72.587830,71.860924,72.215057,56.694336,13018886
2017-02-17,72.177780,72.597145,71.777046,71.944794,56.482159,18844375
2017-02-20,72.587830,72.597145,71.944794,72.196419,56.679703,8543796
2017-02-21,72.457359,72.708977,72.028671,72.513275,56.928452,4803063
2017-02-22,72.503952,72.643738,72.224373,72.606461,57.001617,11999040
2017-02-23,72.606461,73.109703,72.298927,72.708977,57.082104,8112027
2017-02-24,72.690338,73.016510,71.758408,72.243011,56.716282,8146725
2017-02-27,72.690338,72.792847,72.466675,72.653061,57.038204,14966281
2017-02-28,72.653061,74.554192,72.550552,73.333366,57.572296,44655041
2017-03-01,73.361328,74.833771,73.324051,74.498276,58.486835,16140672
2017-03-02,73.715462,75.020157,73.715462,74.060272,58.142975,18996937
2017-03-03,74.200058,74.554192,74.181419,74.507599,58.494156,5743790
2017-03-06,74.554192,75.048111,74.106865,74.843086,58.757549,7840578
2017-03-07,74.647385,75.299736,74.554192,74.787178,58.713642,9406952
2017-03-08,74.824455,75.020157,73.901840,74.749893,58.684376,13637519
2017-03-09,74.433044,74.572830,73.650223,73.845924,57.974693,6576609
2017-03-10,73.845924,74.228020,73.538391,73.790009,57.930801,18174682
2017-03-13,75.858894,75.858894,74.498276,75.364967,59.167267,20084720
2017-03-14,74.880363,75.858894,74.880363,75.663185,59.401382,20668228
2017-03-15,75.579315,76.138466,75.467484,76.138466,59.774517,20771746
2017-03-16,76.138466,77.061073,75.961403,76.874695,60.352505,17637662
2017-03-17,76.418045,76.418045,75.775017,76.110512,59.752567,23534311
2017-03-20,74.078911,74.078911,72.597145,73.659538,59.973927,19353822
2017-03-21,72.690338,74.871048,72.690338,74.675346,60.801003,24155391
2017-03-22,74.675346,75.476799,73.668861,74.973557,61.043812,23552226
2017-03-23,75.486122,75.691147,74.954918,75.411568,61.400440,12456382
2017-03-24,75.383606,76.390091,75.020157,76.231659,62.068165,36341260
2017-03-27,76.222343,76.362129,75.486122,76.129150,61.984703,162236910
2017-03-28,75.858894,77.489761,75.858894,77.331337,62.963524,53330963
2017-03-29,77.322014,77.331337,74.554192,76.213020,62.052982,45685010
2017-03-30,76.231659,76.278259,75.131989,75.374290,61.370083,126154609
